nbIndividus,nbColnes,nbNouveaux,nbGeneration,nbGenerationInjection,methodeMutAc,methodeSelection,cout,tempExecution
787,84,71,4116,68,0,1,210.967539,17.425

1964,100,23,1434,523,1,0,186.614125,11.788

1642,67,68,4918,1631,0,0,196.794113,48.67

501,58,25,724,70,0,0,273.539907,6.516

1774,42,59,3216,827,0,0,213.969868,83.453

1576,57,70,3813,300,0,1,206.233376,97.514

391,42,96,2426,237,0,0,235.433156,9.777

286,2,14,1470,479,2,0,232.689025,8.143

1008,88,40,3768,664,2,1,160.788095,16.025

1133,10,51,2540,129,0,1,228.977895,130.495

348,39,55,4352,1065,2,1,162.643563,17.108

1438,43,41,2379,1187,2,1,168.277863,84.454

1068,46,7,2078,1027,0,0,227.194249,23.053

666,65,31,182,36,0,0,330.852669,5.609

1779,91,74,202,95,1,1,268.853781,6.615

1881,41,43,3819,1229,2,1,164.141923,231.373

113,83,6,1223,302,0,0,257.359364,5.29

454,11,31,1497,37,2,0,208.749096,11.5

1956,51,89,1388,644,0,0,243.742623,35.784

1391,49,49,1918,371,0,1,234.773515,54.284

1321,31,35,123,10,0,0,340.868117,8.129

1618,75,68,2769,944,0,0,213.251259,22.844

450,40,24,916,418,1,1,220.616174,9.038

1686,97,11,2430,819,2,0,168.926308,14.21

1999,23,52,3950,870,0,0,206.074709,204.754

474,86,59,2695,476,2,1,175.613328,8.47

1760,74,59,3453,1026,1,0,166.650182,32.712

952,75,5,1926,311,2,0,187.020778,11.101

1526,68,9,2259,266,1,1,181.868811,37.75

1418,52,78,4071,638,0,1,209.766459,103.116

1268,32,23,2760,40,2,1,168.850617,108.041

1529,73,92,2556,1200,0,0,214.974764,21.306

236,10,20,477,58,0,0,303.970943,5.832

233,13,35,4018,1030,2,0,182.8805,10.226

1379,39,94,3660,722,2,1,163.566808,133.61

505,100,19,4878,2255,2,1,146.040574,10.528

1186,24,25,1147,135,1,0,212.342919,26.786

386,27,82,1590,76,2,0,194.527723,9.449

1774,49,75,2741,1184,1,0,174.466743,59.987

226,42,9,421,51,2,0,248.228932,5.373

